USER_ID, HEIGHT, WEIGHT, ADDRESS
2094, 70, 160, 'East Reubenfurt'
317, 55, 141, 'Davisfort'
3131, 68, 109, 'Lamontbury'
123, 65, 124, 'New Allie'
4525, 94, 157, 'Abelardoboro'
2296, 72, 117, 'Langoshstead'
225, 134, 119, 'Collierville'
4027, 68, 148, 'Walkerville'
4873, 113, 177, 'Rooseveltchester'
4216, 140, 141, 'Fort Vilma'
2716, 110, 131, 'Raleighland'
4655, 102, 134, 'West Zula'
680, 136, 121, 'Monahanville'
3314, 78, 129, 'Kuphalport'
833, 62, 147, 'East Melissaworth'
2738, 141, 152, 'New Wendellview'
4031, 141, 144, 'Hudsonbury'
1291, 68, 117, 'South Ozellacester'
3779, 60, 155, 'Fort Adalberto'
84, 136, 157, 'West Abemouth'
4215, 149, 103, 'New Quintenchester'
2406, 80, 130, 'Champaign'
294, 83, 119, 'Jeffreyland'
1170, 138, 145, 'Port Magnus'
491, 79, 171, 'Stromanstad'
1561, 142, 100, 'Fort Emilyboro'
2399, 128, 161, 'Fort Lorenaton'
4809, 147, 111, 'Reganland'
3551, 60, 160, 'Fort Willyhaven'
651, 59, 166, 'Vernastad'
3174, 149, 137, 'Tamiami'
1523, 64, 116, 'Tempe'
1741, 147, 112, 'Horaceville'
1831, 91, 124, 'Kissimmee'
488, 79, 178, 'Amandaton'
2120, 134, 106, 'South Anaisfort'
2262, 95, 114, 'Wunschworth'
2981, 53, 104, 'Botsfordcester'
1358, 66, 127, 'Cary'
2627, 141, 152, 'Wesley Chapel'
700, 84, 161, 'Morarburgh'
601, 139, 106, 'Flower Mound'
1517, 68, 149, 'Leonport'
198, 55, 147, 'Fort Jeramyhaven'
2905, 129, 116, 'Knoxville'
1129, 52, 137, 'North Maxine'
1054, 142, 136, 'Lake Boworth'
4144, 107, 111, 'San Francisco'
1754, 129, 170, 'North Melbaberg'
637, 107, 112, 'South Terryshire'
668, 65, 168, 'Bethelboro'
198, 126, 161, 'Davisbury'
3458, 106, 141, 'New Malikafurt'
4665, 138, 148, 'North Laron'
2953, 113, 100, 'Stamford'
2924, 112, 140, 'Satterfieldfort'
1329, 90, 163, 'South Jordoncester'
1228, 97, 154, 'Yucaipa'
3534, 81, 153, 'West Justenshire'
2244, 68, 105, 'Cruzbury'
1347, 130, 164, 'Novaton'
1286, 142, 155, 'Bednarport'
3133, 67, 171, 'Fargo'
616, 90, 155, 'New Orleans'
4687, 99, 162, 'Hermanborough'
4643, 65, 171, 'East Clinton'
3568, 113, 100, 'New Rossbury'
1837, 100, 121, 'La Habra'
3246, 133, 123, 'Fort Marianton'
3695, 135, 101, 'New Harmonyburgh'
4053, 110, 148, 'South Retha'
2026, 149, 132, 'East Lerafort'
2484, 116, 151, 'Wilkinsonstad'
3561, 108, 115, 'Blickfield'
2668, 73, 155, 'Trantowville'
3638, 123, 116, 'Stanshire'
4648, 137, 150, 'East Geneland'
3693, 100, 167, 'Sporercester'
1541, 126, 104, 'Johnstontown'
4905, 59, 171, 'Port Maudie'
2297, 121, 131, 'Thompsonberg'
4282, 136, 115, 'New Lisandro'
2411, 73, 169, 'Fort Skylaberg'
3610, 56, 134, 'Pamelamouth'
4812, 115, 131, 'Camerontown'
1389, 114, 145, 'Lake Letitiaworth'
4951, 109, 128, 'Brookburgh'
2866, 71, 167, 'Devanberg'
2585, 128, 141, 'North Glenniefurt'
2829, 50, 126, 'New Jackiechester'
1939, 109, 156, 'West Velma'
3162, 74, 161, 'Kubworth'
302, 145, 110, 'North Feltonmouth'
1724, 123, 158, 'Beierstad'
2916, 130, 120, 'Londonhaven'
2881, 72, 111, 'Lake Lindsayborough'
1759, 69, 121, 'West Devan'
800, 75, 179, 'Willieton'
674, 70, 160, 'New Rodstad'
2120, 51, 174, 'Sunrise Manor'
617, 59, 153, 'Millsmouth'
41, 145, 118, 'Sydneeburgh'
646, 102, 113, 'Kalamazoo'
3980, 128, 131, 'Lake Ridge'
4942, 60, 100, 'New Zander'
169, 135, 100, 'Fort Mitchel'
1976, 105, 146, 'Taylorsville'
3301, 94, 168, 'Thaliahaven'
2157, 93, 163, 'Albertostad'
4146, 80, 157, 'North Ibrahimworth'
3992, 84, 121, 'Lake Mohammed'
1439, 64, 151, 'Fond du Lac'
316, 53, 100, 'South Danykahaven'
1962, 73, 148, 'Port Myrtice'
1380, 107, 119, 'Fort Hassan'
2492, 104, 172, 'Mosciskiside'
700, 51, 103, 'Vinnieboro'
128, 50, 141, 'Fresno'
2982, 105, 168, 'Rebabury'
458, 65, 125, 'North Othachester'
4952, 113, 170, 'Fort Noahborough'
1530, 109, 120, 'South Archibald'
663, 90, 127, 'Plano'
3555, 61, 139, 'Fort Blakeberg'
1734, 93, 177, 'Bettiebury'
3110, 113, 117, 'Fisherbury'
1953, 133, 112, 'Dareworth'
2117, 71, 157, 'New Orleans'
3744, 56, 167, 'Winonabury'
2527, 120, 139, 'Philadelphia'
698, 84, 124, 'Bernitafield'
534, 142, 170, 'New Jeniferstead'
1836, 60, 128, 'Kozeyshire'
3846, 81, 101, 'Bryan'
3877, 143, 134, 'Bradtkebury'
3735, 67, 119, 'West Christa'
1156, 142, 115, 'Americoland'
4613, 98, 154, 'Port Michelbury'
2043, 75, 146, 'Ontario'
4767, 112, 106, 'Clovis'
4387, 106, 138, 'Florin'
2563, 67, 137, 'Keelingchester'
1960, 144, 117, 'Woodrowhaven'
4594, 125, 161, 'Fort Myahburgh'
221, 82, 115, 'South Buster'
339, 118, 130, 'North Orlo'
1971, 143, 154, 'Fort Constantin'
49, 101, 151, 'Lake Summercester'
974, 97, 117, 'St. Louis'
3397, 149, 108, 'North Tillman'
1584, 148, 115, 'McClureberg'
778, 84, 129, 'Ashleighton'
2906, 68, 122, 'East Marques'
2407, 135, 124, 'Fort Tinaberg'
2817, 131, 170, 'Adellburgh'
1343, 89, 102, 'Alfmouth'
3689, 128, 135, 'Dothan'
1120, 149, 147, 'Botsfordton'
2782, 136, 178, 'Tamiaworth'
1399, 122, 168, 'Cheektowaga'
2881, 107, 130, 'Mount Prospect'
1964, 75, 105, 'Fort Darron'
881, 138, 140, 'North Charliefort'
495, 124, 160, 'South Alivia'
3362, 96, 120, 'Memphis'
4157, 124, 147, 'Port Christop'
2247, 126, 123, 'Reynoldston'
3783, 124, 135, 'Michealville'
1683, 58, 109, 'West Vadafurt'
4786, 50, 160, 'Midland'
1769, 81, 115, 'West Jalon'
2738, 111, 169, 'West Alfside'
391, 123, 124, 'Garland'
1347, 64, 107, 'Kuhnstead'
1811, 112, 142, 'Clovis'
2402, 52, 146, 'Wolffbury'
3902, 72, 135, 'New Nella'
3953, 116, 116, 'West Leannstad'
1071, 133, 119, 'Schenectady'
3055, 112, 124, 'Champlinport'
3877, 109, 109, 'Gorczanychester'
